Cluster	Protein	Name	CARD	Resfams	Mechanism	Sub_mechanism
3407	B313-1_scaffold_1533_14	phoQ	NA	phoQ	Gene Modulating Resistance	Gene Modulating Resistance
6544	L109-1_scaffold_44949_2	ClassB	NA	ClassB	Beta-Lactamase-Class B	Beta-Lactamase
2135	B309-1_81|phage|100975|106345_37063_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3461	B320-1_5313|phage|2103|8406_96096_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2480	B329-3_scaffold_953_10	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4340	B335-2_scaffold_13697_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1286	B310-1_scaffold_163_10	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2155	B316-2_scaffold_1352_25	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2422	B309-1_scaffold_12_117	msbA	NA	msbA	Efflux	Efflux
2814	B370-1_scaffold_1057_27	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
776	B316-2_scaffold_5935_5	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5133	B370-1_scaffold_24_69	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
1733	B357-4_scaffold_8303_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2721	L82-1_2432|phage|1|7016_69626_4	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3366	L92-1_scaffold_1423_12	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1306	B310-1_scaffold_1287_8	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5385	B309-1_scaffold_69_134	APH3	NA	APH3	Phosphotransferase	Phosphotransferase
5077	B310-1_scaffold_14304_1	Erm23S_rRNA_methyltrans	ErmX	Erm23S_rRNA_methyltrans	rRNA Methyltransferase	rRNA Methyltransferase
123	B320-2_scaffold_1223_10	RND_efflux	NA	RND_efflux	Efflux	Efflux
6306	B352-1_scaffold_19550_1	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT	Acetyltransferase	Acetyltransferase
6629	B320-1_scaffold_26060_3	AAC3	NA	AAC3	Acetyltransferase	Acetyltransferase
704	B320-2_scaffold_400_15	macB	NA	macB	Efflux	Efflux
3397	B316-6_scaffold_1208_13	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2599	B370-1_scaffold_5018_7	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6686	B352-5_scaffold_43955_1	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
6078	B331-1_scaffold_10879_2	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
2651	B346-2_scaffold_604_13	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4669	B310-1_scaffold_6977_3	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
4935	B321-4_scaffold_682_11	mecR1	NA	mecR1	Gene Modulating Resistance	Gene Modulating Resistance
4056	B309-3_scaffold_27788_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1420	B309-1_scaffold_70_21	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2728	B309-1_scaffold_70_22	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3067	B320-3_scaffold_7598_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
989	L93-6_scaffold_299_32	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2880	B329-1_scaffold_2257_4	msbA	NA	msbA	Efflux	Efflux
2408	B352-1_scaffold_3705_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1113	B352-1_scaffold_3705_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3005	B309-2_scaffold_9471_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6175	B320-1_scaffold_29437_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6697	B310-4_scaffold_8334_3	soxR	NA	soxR	Gene Modulating Resistance	Gene Modulating Resistance
6616	B310-4_scaffold_1018_7	emrR	emrR	NA	Gene Modulating Resistance	Gene Modulating Resistance
3246	B310-4_scaffold_1018_9	emrB	emrB	emrB	Efflux	Efflux
4897	L109-1_scaffold_445_40	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
438	B309-1_scaffold_5_70	Escherichia coli gyrA conferring resistance to fluoroquinolones	Escherichia coli gyrA conferring resistance to fluoroquinolones	NA	Quinolone Resistance	Quinolone Resistance
717	B313-3_scaffold_11839_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3388	B313-1_scaffold_186_8	tolC	NA	tolC	Efflux	Efflux
3624	B357-2_scaffold_1431_19	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5575	B309-1_scaffold_17_16	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
3796	B310-1_scaffold_23618_1	TetM-TetW-TetO-TetS	NA	TetM-TetW-TetO-TetS	Tetracycline Ribosomal Protection	Tetracycline Resistance
4422	B370-1_scaffold_60912_1	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
1873	B369-3_scaffold_435_11	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5286	B316-4_scaffold_27738_2	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
722	B314-3_scaffold_9454_2	macB	NA	macB	Efflux	Efflux
5040	B316-7_scaffold_1122_1	MexH	NA	MexH	Efflux	Efflux
6831	B369-2_scaffold_2261_1	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
2444	B314-2_scaffold_1567_4	msbA	msbA	msbA	Efflux	Efflux
377	B370-1_scaffold_410_46	RND_efflux	NA	RND_efflux	Efflux	Efflux
2825	B309-2_scaffold_158_69	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3513	B346-3_scaffold_29289_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2953	B314-3_scaffold_13_208	Clostridium perfringens mprF	Clostridium perfringens mprF	NA	Gene Modulating Resistance	Gene Modulating Resistance
3310	B371-5_scaffold_24426_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3669	B371-3_scaffold_4642_7	msbA	NA	msbA	Efflux	Efflux
1391	B316-7_scaffold_5749_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3779	L109-3_scaffold_43538_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
986	B371-1_scaffold_129_127	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5316	B352-1_scaffold_6975_6	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
5939	B309-3_scaffold_17686_2	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
713	L93-1_scaffold_624_22	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6201	B316-4_scaffold_45634_2	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
2993	B335-1_scaffold_15235_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5277	B320-1_scaffold_46706_1	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
4292	B371-1_scaffold_2700_17	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
2213	B370-1_scaffold_6101_5	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3389	B316-2_scaffold_20081_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4141	B371-5_scaffold_20005_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
754	B352-3_scaffold_907_20	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
305	B320-1_scaffold_1519_26	RND_efflux	NA	RND_efflux	Efflux	Efflux
6169	B359-3_scaffold_393_19	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
93	B310-1_scaffold_27_37	RND_efflux	NA	RND_efflux	Efflux	Efflux
234	B310-1_scaffold_251_22	RND_efflux	NA	RND_efflux	Efflux	Efflux
4302	B370-3_scaffold_11447_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4264	B316-2_scaffold_50680_2	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
5478	B314-1_scaffold_116_65	ClassB	NA	ClassB	Beta-Lactamase-Class B	Beta-Lactamase
2674	B309-1_scaffold_536_9	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4925	B357-5_scaffold_8488_4	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
5207	B310-4_scaffold_7342_2	bacA	bacA	NA	Undecaprenyl Pyrophosphate Phosphatase	Other
2841	B316-2_scaffold_2783_13	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1517	B316-1_scaffold_2082_2	msbA	NA	msbA	Efflux	Efflux
1127	B309-2_scaffold_2354_6	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3647	B310-4_scaffold_16388_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2678	B309-3_scaffold_13237_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4901	B314-3_scaffold_2591_4	SubclassB1	NA	SubclassB1	Beta-Lactamase-Class B	Beta-Lactamase
4029	B310-4_scaffold_77_6	MexE	oqxA	MexE	Efflux	Efflux
119	B310-4_scaffold_77_7	RND_efflux	oqxB	RND_efflux	Efflux	Efflux
277	B316-1_scaffold_287_21	RND_efflux	NA	RND_efflux	Efflux	Efflux
2399	B316-4_scaffold_10886_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3562	B310-4_scaffold_661_46	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	NA	Fosfomycin Transporter	Fosfomycin Resistance
1401	B331-2_scaffold_14_31	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2448	B314-3_scaffold_523_22	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1638	B371-1_1079|phage|38575|55040_166318_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
490	B321-2_scaffold_1550_7	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4596	B313-3_scaffold_18279_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5087	B331-1_scaffold_457_24	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
3269	B331-1_scaffold_6618_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3198	B369-4_scaffold_9249_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1259	B313-3_scaffold_770_6	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
313	B371-1_scaffold_20_153	RND_efflux	NA	RND_efflux	Efflux	Efflux
3935	B316-2_scaffold_14174_3	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
2676	B309-2_scaffold_7139_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
84	B371-1_scaffold_2050_17	RND_efflux	NA	RND_efflux	Efflux	Efflux
813	B370-1_scaffold_14400_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2427	B309-2_scaffold_891_14	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2648	B329-3_scaffold_3152_4	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3302	B316-4_scaffold_31394_2	macB	NA	macB	Efflux	Efflux
363	L109-3_scaffold_4973_6	RND_efflux	NA	RND_efflux	Efflux	Efflux
448	L92-2_scaffold_4293_1	MexW-MexI	NA	MexW-MexI	Efflux	Efflux
5311	B316-5_scaffold_3387_2	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
3714	B314-1_scaffold_99_41	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
