Protein	Name	CARD	Resfams
B313-1_scaffold_1533_14	phoQ	NA	phoQ
L109-1_scaffold_44949_2	ClassB	NA	ClassB
B309-1_81|phage|100975|106345_37063_1	ABC_efflux	NA	ABC_efflux
B320-1_5313|phage|2103|8406_96096_3	ABC_efflux	NA	ABC_efflux
B329-3_scaffold_953_10	ABC_efflux	NA	ABC_efflux
B335-2_scaffold_13697_1	ABC_efflux	NA	ABC_efflux
B310-1_scaffold_163_10	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_1352_25	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_12_117	msbA	NA	msbA
B370-1_scaffold_1057_27	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_5935_5	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_24_69	vanY	NA	vanY
B357-4_scaffold_8303_1	ABC_efflux	NA	ABC_efflux
L82-1_2432|phage|1|7016_69626_4	ABC_efflux	NA	ABC_efflux
L92-1_scaffold_1423_12	ABC_efflux	NA	ABC_efflux
B310-1_scaffold_1287_8	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_69_134	APH3	NA	APH3
B310-1_scaffold_14304_1	Erm23S_rRNA_methyltrans	ErmX	Erm23S_rRNA_methyltrans
B320-2_scaffold_1223_10	RND_efflux	NA	RND_efflux
B352-1_scaffold_19550_1	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT
B320-1_scaffold_26060_3	AAC3	NA	AAC3
B320-2_scaffold_400_15	macB	NA	macB
B316-6_scaffold_1208_13	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_5018_7	ABC_efflux	NA	ABC_efflux
B352-5_scaffold_43955_1	vanY	NA	vanY
B331-1_scaffold_10879_2	vanR	NA	vanR
B346-2_scaffold_604_13	ABC_efflux	NA	ABC_efflux
B310-1_scaffold_6977_3	vanS	NA	vanS
B321-4_scaffold_682_11	mecR1	NA	mecR1
B309-3_scaffold_27788_1	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_70_21	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_70_22	ABC_efflux	NA	ABC_efflux
B320-3_scaffold_7598_2	ABC_efflux	NA	ABC_efflux
L93-6_scaffold_299_32	ABC_efflux	NA	ABC_efflux
B329-1_scaffold_2257_4	msbA	NA	msbA
B352-1_scaffold_3705_2	ABC_efflux	NA	ABC_efflux
B352-1_scaffold_3705_3	ABC_efflux	NA	ABC_efflux
B309-2_scaffold_9471_2	ABC_efflux	NA	ABC_efflux
B320-1_scaffold_29437_2	ABC_efflux	NA	ABC_efflux
B310-4_scaffold_8334_3	soxR	NA	soxR
B310-4_scaffold_1018_7	emrR	emrR	NA
B310-4_scaffold_1018_9	emrB	emrB	emrB
L109-1_scaffold_445_40	ClassA	NA	ClassA
B309-1_scaffold_5_70	Escherichia coli gyrA conferring resistance to fluoroquinolones	Escherichia coli gyrA conferring resistance to fluoroquinolones	NA
B313-3_scaffold_11839_2	ABC_efflux	NA	ABC_efflux
B313-1_scaffold_186_8	tolC	NA	tolC
B357-2_scaffold_1431_19	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_17_16	vanY	NA	vanY
