gene	name	best_mech	resfam_mech	megares_mech	card_mech	cardisamech
B314-1_scaffold_76_121	bacA	Undecaprenyl Pyrophosphate Phosphatase		Undecaprenyl Pyrophosphate Phosphatase		determinant of resistance to peptide antibiotics,determinant of antibiotic resistance,bacitracin resistance gene,protein(s) conferring antibiotic resistance via molecular bypass,undecaprenyl pyrophosphate related proteins conferring resistance to bacitracin
B314-1_scaffold_1146_13	vgaC	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,vga,ATP-binding cassette (ABC) antibiotic efflux pump
B314-1_scaffold_10229_1	tet(40)	Efflux	Efflux	Tetracycline resistance ribosomal protection proteins		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-1_scaffold_122_68	lnuC	Nucleotidyltransferase		Lincosamide Nucleotidyltransferases		determinant of lincosamide resistance,lincosamide nucleotidyltransferase (LNU),determinant of antibiotic resistance,antibiotic inactivation enzyme
B314-1_scaffold_205_55	mdtO	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_10500_2	OKP-A-2	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,OKP beta-lactamase,class A beta-lactamase
B314-1_scaffold_94_60	tet(J)	Tetracycline MFS Efflux	Efflux,Tetracycline MFS Efflux	Tetracycline resistance major facilitator superfamily MFS efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-1_scaffold_5_196	mdtF	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_99_77	evgA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_15221_1	vgaC	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,vga,ATP-binding cassette (ABC) antibiotic efflux pump
B314-1_scaffold_124_23	acrB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_205_56	mdtP	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_15_76	mdtB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_88_88	H-NS	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_15_206	YojI	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B314-1_scaffold_504_13	FosA5	Fosfomycin Thiol Transferase		Fosfomycin Thiol Transferase	Fosfomycin Thiol Transferase	fosfomycin thiol transferase,fosfomycin inactivation enzyme,determinant of fosfomycin resistance,antibiotic inactivation enzyme
